"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2022","23.80","23.56","24.02","23.52","52.23M","1.44%"
"03/28/2022","23.46","23.92","23.94","23.44","31.34M","-1.09%"
"03/25/2022","23.72","23.66","23.96","23.42","38.02M","1.02%"
"03/24/2022","23.48","23.82","24.10","23.48","26.65M","-1.34%"
"03/23/2022","23.80","24.32","24.40","23.70","30.52M","-1.56%"
"03/22/2022","24.18","24.28","24.40","24.06","33.82M","0.58%"
"03/21/2022","24.04","23.46","24.16","23.38","48.76M","3.69%"
"03/18/2022","23.19","23.66","23.80","23.19","27.15M","-2.02%"
"03/17/2022","23.66","23.42","23.86","23.38","36.47M","1.45%"
"03/16/2022","23.33","23.98","24.22","23.27","27.99M","-2.17%"
"03/15/2022","23.84","23.90","24.44","23.66","30.77M","-0.58%"
"03/14/2022","23.98","24.28","24.48","23.88","23.76M","-0.99%"
"03/11/2022","24.22","24.34","24.94","24.18","37.58M","-0.33%"
"03/10/2022","24.30","24.98","25.32","24.22","55.85M","-2.32%"
"03/09/2022","24.88","26.21","26.29","24.78","57.50M","-3.55%"
"03/08/2022","25.79","24.14","26.25","24.00","104.91M","6.67%"
"03/07/2022","24.18","24.28","24.58","23.44","67.20M","0.41%"
"03/04/2022","24.08","23.80","24.64","23.80","64.04M","1.60%"
"03/03/2022","23.70","23.09","24.28","23.05","89.20M","3.75%"
"03/02/2022","22.85","23.58","23.86","22.73","75.25M","-4.33%"
"03/01/2022","23.88","22.41","23.88","22.35","94.08M","7.91%"
"02/28/2022","22.13","20.16","22.17","20.06","62.37M","8.28%"
"02/25/2022","20.44","19.01","20.60","18.98","46.79M","8.68%"
"02/24/2022","18.81","19.30","20.06","18.81","37.96M","-10.00%"
"02/23/2022","20.90","21.47","21.53","20.90","22.31M","-2.23%"
"02/22/2022","21.37","20.96","21.49","20.82","30.76M","-0.65%"
"02/21/2022","21.51","21.81","21.97","21.28","32.81M","-0.18%"
"02/18/2022","21.55","21.73","21.87","21.24","23.47M","-0.18%"
"02/17/2022","21.59","22.21","22.25","21.57","45.42M","-2.52%"
"02/16/2022","22.15","21.69","22.27","21.65","61.45M","2.30%"
"02/15/2022","21.65","21.87","22.03","21.55","47.73M","-0.37%"
"02/14/2022","21.73","21.71","22.15","20.94","98.73M","0.46%"
"02/11/2022","21.63","20.88","21.71","20.64","43.97M","2.55%"
"02/10/2022","21.10","21.31","21.45","21.02","25.11M","-0.84%"
"02/09/2022","21.28","21.18","21.49","21.12","31.24M","1.42%"
"02/08/2022","20.98","20.96","21.26","20.72","35.71M","0.09%"
"02/07/2022","20.96","20.38","21.00","19.94","29.72M","2.63%"
"02/04/2022","20.42","20.72","20.78","20.26","20.76M","-1.06%"
"02/03/2022","20.64","20.98","21.33","20.40","30.05M","-2.45%"
"02/02/2022","21.16","21.55","21.71","21.04","27.20M","-1.12%"
"02/01/2022","21.39","21.69","21.87","21.31","26.08M","-0.46%"
"01/31/2022","21.49","22.03","22.19","21.41","25.02M","-1.46%"
"01/28/2022","21.81","22.21","22.45","21.75","30.39M","-1.70%"
"01/27/2022","22.19","20.98","22.19","20.88","40.04M","4.40%"
"01/26/2022","21.26","21.20","21.57","21.10","24.85M","0.95%"
"01/25/2022","21.06","20.94","21.24","20.32","30.26M","1.34%"
"01/24/2022","20.78","22.17","22.43","20.76","40.55M","-6.37%"
"01/21/2022","22.19","22.25","22.45","21.95","27.92M","-1.06%"
"01/20/2022","22.43","23.21","23.33","22.05","43.89M","-2.93%"
"01/19/2022","23.11","22.67","23.21","21.97","52.85M","1.84%"
"01/18/2022","22.69","24.08","24.32","22.69","37.06M","-5.86%"
"01/17/2022","24.10","24.40","24.78","24.10","51.97M","0.33%"
"01/14/2022","24.02","24.16","24.22","23.66","38.35M","-0.66%"
"01/13/2022","24.18","24.08","24.78","24.00","75.08M","0.58%"
"01/12/2022","24.04","24.26","24.40","23.88","35.52M","0.67%"
"01/11/2022","23.88","24.40","24.46","23.33","59.13M","-0.83%"
"01/10/2022","24.08","23.56","24.62","23.50","71.71M","3.15%"
"01/07/2022","23.34","23.34","23.56","22.83","32.30M","0.86%"
"01/06/2022","23.15","22.65","23.64","22.57","59.22M","1.04%"
"01/05/2022","22.91","22.41","22.99","22.01","44.95M","2.31%"
"01/04/2022","22.39","21.91","22.67","21.73","53.08M","3.21%"
"01/03/2022","21.69","20.88","21.69","20.74","30.53M","4.41%"
